index,ART6m,test_0_6,test_6_12,tset_6_18,test_12_18,test_18_24,visit_test_6_18
1,-2959.933341,-3545.211599,-3191.477733,-2502.657385,-1960.53385,-801.5207318,-2552.258677
2,-2959.933341,-3545.211599,-3191.477733,-2502.657385,-1960.53385,-801.5207318,-2552.258677
3,-2959.933341,-3545.211599,-3191.68038,-2502.686706,-1960.53385,-801.5207318,-2552.258677
4,-2959.933341,-3545.211599,-3191.68038,-2502.686706,-1960.53385,-801.5207318,-2552.258677
5,-2960.432169,-3545.211599,-3191.68038,-2502.686706,-1960.804275,-801.5207318,-2552.258677
6,-2960.432169,-3545.123185,-3191.68038,-2502.686706,-1960.804275,-801.6011345,-2552.319325
7,-2960.432169,-3545.123185,-3191.68038,-2502.686706,-1960.804275,-801.6011345,-2552.319325
8,-2960.432169,-3545.123185,-3192.037133,-2502.470193,-1960.804275,-801.6011345,-2552.319325
9,-2960.432169,-3545.123185,-3192.037133,-2502.470193,-1960.804275,-801.6011345,-2552.319325
10,-2961.251514,-3545.123185,-3192.037133,-2502.470193,-1960.708174,-801.6011345,-2552.319325
11,-2961.251514,-3545.175361,-3192.037133,-2502.470193,-1960.708174,-801.5986672,-2552.570137
12,-2961.251514,-3545.175361,-3192.037133,-2502.470193,-1960.708174,-801.5986672,-2552.570137
13,-2961.251514,-3545.175361,-3191.847613,-2502.927869,-1960.708174,-801.5986672,-2552.570137
14,-2961.251514,-3545.175361,-3191.847613,-2502.927869,-1960.708174,-801.5986672,-2552.570137
15,-2962.293094,-3545.175361,-3191.847613,-2502.927869,-1960.655922,-801.5986672,-2552.570137
16,-2962.293094,-3544.642765,-3191.847613,-2502.927869,-1960.655922,-801.7022253,-2553.008195
17,-2962.293094,-3544.642765,-3191.847613,-2502.927869,-1960.655922,-801.7022253,-2553.008195
18,-2962.293094,-3544.642765,-3192.109902,-2502.426318,-1960.655922,-801.7022253,-2553.008195
19,-2962.293094,-3544.642765,-3192.109902,-2502.426318,-1960.655922,-801.7022253,-2553.008195
20,-2962.259336,-3544.642765,-3192.109902,-2502.426318,-1960.678559,-801.7022253,-2553.008195
21,-2962.259336,-3544.285628,-3192.109902,-2502.426318,-1960.678559,-801.8224816,-2553.309138
22,-2962.259336,-3544.285628,-3192.109902,-2502.426318,-1960.678559,-801.8224816,-2553.309138
23,-2962.259336,-3544.285628,-3192.40111,-2502.216142,-1960.678559,-801.8224816,-2553.309138
24,-2962.259336,-3544.285628,-3192.40111,-2502.216142,-1960.678559,-801.8224816,-2553.309138
25,-2962.198475,-3544.285628,-3192.40111,-2502.216142,-1960.128331,-801.8224816,-2553.309138
26,-2962.198475,-3544.337899,-3192.40111,-2502.216142,-1960.128331,-801.7650571,-2553.208812
27,-2962.198475,-3544.337899,-3192.40111,-2502.216142,-1960.128331,-801.7650571,-2553.208812
28,-2962.198475,-3544.337899,-3192.291716,-2502.654693,-1960.128331,-801.7650571,-2553.208812
29,-2962.198475,-3544.337899,-3192.291716,-2502.654693,-1960.128331,-801.7650571,-2553.208812
30,-2962.634227,-3544.337899,-3192.291716,-2502.654693,-1959.778043,-801.7650571,-2553.208812
31,-2962.634227,-3544.682023,-3192.291716,-2502.654693,-1959.778043,-801.6079343,-2553.347556
32,-2962.634227,-3544.682023,-3192.291716,-2502.654693,-1959.778043,-801.6079343,-2553.347556
33,-2962.634227,-3544.682023,-3192.064191,-2502.591859,-1959.778043,-801.6079343,-2553.347556
34,-2962.634227,-3544.682023,-3192.064191,-2502.591859,-1959.778043,-801.6079343,-2553.347556
35,-2962.65124,-3544.682023,-3192.064191,-2502.591859,-1960.072153,-801.6079343,-2553.347556
36,-2962.65124,-3544.723144,-3192.064191,-2502.591859,-1960.072153,-801.8161996,-2553.494988
37,-2962.65124,-3544.723144,-3192.064191,-2502.591859,-1960.072153,-801.8161996,-2553.494988
38,-2962.65124,-3544.723144,-3191.689998,-2503.143495,-1960.072153,-801.8161996,-2553.494988
39,-2962.65124,-3544.723144,-3191.689998,-2503.143495,-1960.072153,-801.8161996,-2553.494988
40,-2963.138766,-3544.723144,-3191.689998,-2503.143495,-1960.180155,-801.8161996,-2553.494988
41,-2963.138766,-3544.504596,-3191.689998,-2503.143495,-1960.180155,-801.7975917,-2553.612065
42,-2963.138766,-3544.504596,-3191.689998,-2503.143495,-1960.180155,-801.7975917,-2553.612065
43,-2963.138766,-3544.504596,-3191.548051,-2503.250377,-1960.180155,-801.7975917,-2553.612065
