"","bd_bin","bd_lm","bd_IK","zipest","zipvar","zipest_IK","zipvar_IK","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","zip_ci_left_IK","zip_ci_right_IK","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","zip_ci_in_IK","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.1,0.1,2.14627535669785,-0.638921210376153,0.0199209781647507,-0.369768062122114,0.0014175971554585,-0.667381245218094,0.0256550039972827,-0.353866356036613,0.00246673384786733,-0.377339461004162,0.001616541980111,-0.915553849968513,-0.362288570783792,-0.712715797555884,-0.565126623196422,-0.981312195269701,-0.353450295166487,-0.45121036714256,-0.256522344930667,-0.456142249333762,-0.298536672674562,TRUE,FALSE,TRUE,TRUE,TRUE
"2",0.2,0.2,2.02292113330718,-0.272922521631815,0.0175371074956321,-0.361093778438064,0.00158929029138495,-0.274135188827862,0.0171165182818852,-0.352252475430988,0.00178655271602411,-0.357303779030765,0.00118527404955885,-0.532476131274519,-0.0133689119891111,-0.351058257428467,-0.194786785835163,-0.530557497010125,-0.0177128806455976,-0.435095511889135,-0.269409438972841,-0.424781045221814,-0.289826512839716,TRUE,FALSE,TRUE,TRUE,TRUE
"3",0.2,0.1,1.31976840662991,-0.175379304028924,0.0181044022287048,-0.344573236026582,0.0025474119752503,0.0355410973191839,0.0353009249663897,-0.333439240619731,0.00178283979423136,-0.352831519268048,0.00116677450267728,-0.439097554506308,0.0883389464484605,-0.274302396389945,-0.0764562116679024,-0.332707527377228,0.403789722015596,-0.416196147602983,-0.25068233363648,-0.419780127954641,-0.285882910581454,TRUE,FALSE,FALSE,TRUE,TRUE
"4",0.8,0.1,1.4047865954611,-0.377618097545522,0.00352401847969826,-0.363677736856524,0.00218590850755517,-0.339624766764318,0.0280097255230671,-0.348613893890486,0.00196327817240393,-0.356633915021713,0.0012909418985117,-0.493968309720344,-0.261267885370701,-0.469253666608949,-0.285982528482095,-0.667646423329563,-0.0116031101990733,-0.435457732203042,-0.26177005557793,-0.427054793623456,-0.286213036419971,TRUE,TRUE,TRUE,TRUE,TRUE
"5",0.4,0.1,Inf,-0.338955121651487,0.00787811014819332,-0.336655599970184,0.00109985257186121,-0.239443855131627,0.0334066888361169,-0.400772911679582,0.00229423766999403,-0.346573349929404,0.00147330146191417,-0.512919013649732,-0.164991229653241,-0.403955416755735,-0.273954826547238,-0.597676209197651,0.118788498934397,-0.494651660788032,-0.306894162571132,-0.421803841729017,-0.27134285812979,TRUE,TRUE,TRUE,TRUE,TRUE
"6",0.3,0.1,7.09052280189138,-0.215289961220333,0.0141485130019716,-0.358366016025319,0.00101905963677529,-0.33840407051423,0.0537642807766806,-0.343480649169301,0.00175204012997991,-0.364594132109967,0.00117879247598284,-0.448422820489741,0.0178428980490741,-0.277857329955991,-0.152722592484675,-0.792863387315916,0.116055246287456,-0.425519603401553,-0.26144169493705,-0.431886648444491,-0.297301615775443,TRUE,FALSE,TRUE,TRUE,TRUE
"7",0.4,0.1,1.34774683359735,-0.413966390117023,0.00735291546178823,-0.315390087030213,0.00234826033404057,-0.44763540332261,0.0381614196649441,-0.370585416761092,0.00167122701003365,-0.364594088953013,0.00113370805358304,-0.582031621377105,-0.245901158856942,-0.508943994706138,-0.318988785527908,-0.830513350170048,-0.0647574564751715,-0.450710005615426,-0.290460827906758,-0.430587215887024,-0.298600962019001,TRUE,TRUE,TRUE,TRUE,TRUE
"8",0.8,0.4,1.70512139968501,-0.38682584195763,0.00374245917122148,-0.382073115678463,0.00185190243844307,-0.45690196164583,0.00797531599194427,-0.393129315287295,0.00192986979731413,-0.425058166092034,0.00125619303532246,-0.50672789696244,-0.26692378695282,-0.471170414736334,-0.302481269178926,-0.631935809701219,-0.28186811359044,-0.479231088530844,-0.307027542043746,-0.494524804243265,-0.355591527940804,TRUE,TRUE,TRUE,TRUE,TRUE
"9",0.2,0.2,1.24742326007,-0.244935680123938,0.0149343070347056,-0.325605780755967,0.00237826917588575,-0.255905164541587,0.0129859217410835,-0.343965862589063,0.00197114114080458,-0.39316297608272,0.00129114995530513,-0.484455043619719,-0.00541631662815709,-0.340518226144073,-0.149353134103803,-0.479254405903918,-0.0325559231792562,-0.430983432781392,-0.256948292396735,-0.463589529204719,-0.322736422960721,TRUE,FALSE,TRUE,TRUE,TRUE
"10",0.8,0.1,2.44293961293727,-0.462562410565134,0.00370207268042491,-0.405697267049083,0.00118680249042645,-0.425030473816936,0.0242669501420023,-0.417387212086078,0.00231310037305158,-0.423927104253288,0.00150250234490889,-0.581815753298447,-0.343309067831821,-0.530083169560205,-0.395041651570063,-0.730350780502128,-0.119710167131745,-0.511651096109652,-0.323123328062503,-0.49989947348029,-0.347954735026287,TRUE,FALSE,TRUE,TRUE,TRUE
