"","bd_zip","bd_lm","zipest","zipvar","linest","linvar","linest_IK_t","linvar_IK_t","linest_IK_r","linvar_IK_r","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","lin_ci_left_IK_t","lin_ci_right_IK_t","lin_ci_left_IK_r","lin_ci_right_IK_r","zip_ci_in","lin_ci_in","lin_ci_in_IK_t","lin_ci_in_IK_r"
"1",0.1,0.1,Inf,Inf,6.32904982022972,1.60382524870448,7.08171135290368,0.0595646808214355,7.38122726684131,0.0392773102692956,NA,Inf,3.84690787253862,8.81119176792083,6.60336496319918,7.56005774260818,6.99279172522968,7.76966280845295,NA,TRUE,TRUE,FALSE
"2",3,0.1,7.14496346563983,0.0371116510316031,6.98607737217751,1.31403113967893,7.2110498633498,0.0508766998166955,7.39801374671349,0.0353495814362921,6.76738846751909,7.52253846376056,4.7393471898489,9.23280755450612,6.76896305368608,7.65313667301353,7.02951142458201,7.76651606884496,TRUE,TRUE,TRUE,FALSE
"3",0.1,0.1,Inf,Inf,8.12701512597178,1.30237436221478,7.13855134041222,0.0847275438203969,7.14560929133573,0.0539166111205236,NA,Inf,5.89027252084801,10.3637577310955,6.56804509981128,7.70905758101315,6.69050662009454,7.60071196257693,NA,TRUE,TRUE,TRUE
"4",2.9,0.1,Inf,Inf,6.09028431197801,1.14013095319814,6.80946213641958,0.0623958940462429,7.1517171206393,0.039455977203682,NA,Inf,3.9974952382992,8.18307338565681,6.31987939820362,7.29904487463554,6.76239911224746,7.54103512903114,NA,TRUE,TRUE,TRUE
"5",0.1,0.1,Inf,Inf,8.68308652197049,1.18815563581559,6.66127149449165,0.0732993652793008,6.98969390881569,0.0462681929418057,NA,Inf,6.54667575913455,10.8194972848064,6.13063367704603,7.19190931193727,6.56810482227066,7.41128299536073,NA,TRUE,TRUE,TRUE
"6",0.1,0.1,Inf,Inf,6.04705607928458,1.32533943176341,6.90965624771805,0.0637366046940894,6.96216928759673,0.0414238195766164,NA,Inf,3.79067914921255,8.30343300935661,6.41484159322285,7.40447090221325,6.5632609057602,7.36107766943326,NA,TRUE,TRUE,TRUE
"7",0.1,0.1,Inf,Inf,7.24610306107056,1.12612153519756,7.12905477949964,0.0557385065012416,7.44333112747412,0.0369880577539718,NA,Inf,5.16621135606324,9.32599476607788,6.66632680600818,7.5917827529911,7.06638537445475,7.82027688049349,NA,TRUE,TRUE,FALSE
"8",0.1,0.1,Inf,Inf,6.3054847459104,1.60553494477398,7.19830040875739,0.0655028316306626,7.4843994380555,0.041472492559227,NA,Inf,3.82202015475258,8.78894933706822,6.69667661511513,7.69992420239965,7.08525676637304,7.88354210973796,NA,TRUE,TRUE,FALSE
"9",2.7,0.1,7.06704554895678,0.350702291268701,5.70364981743475,0.947287675260456,6.26720436706237,0.0778940125106871,6.84451768234325,0.0475969050439525,5.90635247573209,8.22773862218148,3.79604225929704,7.61125737557245,5.72018824167078,6.81422049245397,6.41691792705937,7.27211743762713,TRUE,TRUE,FALSE,TRUE
"10",3,0.2,6.61603585223231,0.0361765897917468,6.69294522139639,0.574116475237985,6.65745558233982,0.0683447415020316,6.87344449998001,0.0436395763015535,6.24324786964953,6.98882383481509,5.20787121721048,8.1780192255823,6.1450655843002,7.16984558037943,6.46400630523634,7.28288269472368,TRUE,TRUE,TRUE,TRUE
"11",0.1,0.1,Inf,Inf,5.32937997644339,1.10969209684427,6.67022446279116,0.065910245885644,7.10943359179443,0.0435153215165069,NA,Inf,3.26471620389421,7.39404374899256,6.167043088502,7.17340583708032,6.70057870840067,7.51828847518819,NA,TRUE,TRUE,TRUE
"12",2.4,0.1,7.21857268704098,0.0456962495468643,7.42659796013244,1.26180186305627,7.41862773621406,0.0529271783058747,7.46103965407155,0.0349179638569341,6.79959743610789,7.63754793797406,5.22497131221827,9.62822460804661,6.96772023355132,7.86953523887681,7.09479394384562,7.82728536429748,TRUE,TRUE,TRUE,FALSE
"13",0.1,0.2,Inf,Inf,7.1858769275524,0.340561045927322,7.31934140652114,0.0360239888115268,7.26285981675524,0.0340062220779743,NA,Inf,6.04208882048785,8.32966503461696,6.94734050655364,7.69134230648864,6.90142724799598,7.6242923855145,NA,TRUE,TRUE,TRUE
"14",0.1,0.1,Inf,Inf,7.80668414188529,0.504888854057469,6.70386397993042,0.0515978691280464,7.25345097117657,0.0350031335645485,NA,Inf,6.41402131769229,9.19934696607828,6.2586549397134,7.14907302014743,6.8867588712024,7.62014307115074,NA,TRUE,TRUE,TRUE
"15",0.1,0.1,Inf,Inf,8.03713710346866,0.881824217002033,6.96531404402197,0.0491766327368185,7.04393676513263,0.0334759717940504,NA,Inf,6.19662320330269,9.87765100363463,6.53067625275333,7.39995183529062,6.68533313000108,7.40254040026418,NA,TRUE,TRUE,TRUE
"16",0.1,0.1,Inf,Inf,6.52122183327963,1.0497171153562,6.95371146465022,0.0706065715769746,7.05196488214712,0.0463692213834438,NA,Inf,4.51312694707065,8.52931671948861,6.43291185137911,7.47451107792133,6.62991576830828,7.47401399598596,NA,TRUE,TRUE,TRUE
